"id","place","parent","country_code"
"975","Бийск","11235",""
"11240","Заринск","11235",""
"11251","Рубцовск","11235",""
"11266","Иркутская область","59",""
"11256","Ангарск","11266",""
"976","Братск","11266",""
"63","Иркутск","11266",""
"100109","Нижнеудинский район","11266",""
"11268","Нижнеудинск","100109",""
"100112","Тайшетский район","11266",""
"11270","Тайшет","100112",""
"11271","Тулун","11266",""
"11272","Усолье-Сибирское","11266",""
"11273","Усть-Илимск","11266",""
"100116","Усть-Кутский район","11266",""
"20097","Усть-Кут","100116",""
"11274","Черемхово","11266",""
"11282","Кемеровская область","59",""
"11276","Анжеро-Судженск","11282",""
"11277","Белово","11282",""
"64","Кемерово","11282",""
"11283","Киселёвск","11282",""
"11285","Ленинск-Кузнецкий","11282",""
"11287","Междуреченск","11282",""
"11288","Мыски","11282",""
"237","Новокузнецк","11282",""
"11292","Полысаево","11282",""
"11291","Прокопьевск","11282",""
"11299","Юрга","11282",""
"11309","Красноярский край","59",""
"11302","Ачинск","11309",""
"20086","Железногорск","11309",""
"20088","Зеленогорск","11309",""
"62","Красноярск","11309",""
"11310","Минусинск","11309",""
"11311","Норильск","11309",""
"11316","Новосибирская область","59",""
"20100","Искитим","11316",""
"65","Новосибирск","11316",""
"11318","Омская область","59",""
"66","Омск","11318",""
"10231","Республика Алтай","59",""
"11319","Горно-Алтайск","10231",""
"10233","Республика Тыва","59",""
"11340","Республика Хакасия","59",""
"1095","Абакан","11340",""
"11353","Томская область","59",""
"11351","Северск","11353",""
"11352","Стрежевой","11353",""
"67","Томск","11353",""
"73","Дальний Восток","225",""
"11375","Амурская область","73",""
"11374","Белогорск","11375",""
"77","Благовещенск","11375",""
"11387","Свободный","11375",""
"11391","Тында","11375",""
"10243","Еврейская автономная область","73",""
"21949","Забайкальский край","73",""
"68","Чита","21949",""
"11398","Камчатский край","73",""
"78","Петропавловск-Камчатский","11398",""
"11403","Магаданская область","73",""
"79","Магадан","11403",""
"11409","Приморский край","73",""
"11405","Арсеньев","11409",""
"11406","Артём","11409",""
"75","Владивосток","11409",""
"11411","Дальнегорск","11409",""
"974","Находка","11409",""
"11426","Уссурийск","11409",""
"11330","Республика Бурятия","73",""
"11327","Северобайкальск","11330",""
"198","Улан-Удэ","11330",""
"11443","Республика Саха (Якутия)","73",""
"101987","Нерюнгринский район","11443",""
"11437","Нерюнгри","101987",""
"74","Якутск","11443",""
"11450","Сахалинская область","73",""
"80","Южно-Сахалинск","11450",""
"11457","Хабаровский край","73",""
"100398","Амурский район","11457",""
"11451","Амурск","100398",""
"11453","Комсомольск-на-Амуре","11457",""
"76","Хабаровск","11457",""
"10251","Чукотский автономный округ","73",""
"977","Республика Крым","225",""
"11471","Алушта","977",""
"28892","Армянск","977",""
"24696","Бахчисарайский район","977",""
"27217","Бахчисарай","24696",""
"27555","Джанкой","977",""
"11463","Евпатория","977",""
"11464","Керчь","977",""
"27693","Красноперекопск","977",""
"24702","Ленинский район","977",""
"28786","Щёлкино","24702",""
"20556","Саки","977",""
"959","Севастополь","977",""
"146","Симферополь","977",""
"11472","Судак","977",""
"11469","Феодосия","977",""
"11470","Ялта","977",""
"102444","Северный Кавказ","225",""
"11013","Кабардино-Балкарская Республика","102444",""
"30","Нальчик","11013",""
"11020","Карачаево-Черкесская Республика","102444",""
"1104","Черкесск","11020",""
"11010","Республика Дагестан","102444",""
"11006","Буйнакск","11010",""
"11007","Дербент","11010",""
"21521","Избербаш","11010",""
"11008","Каспийск","11010",""
"11009","Кизляр","11010",""
"28","Махачкала","11010",""
"11011","Хасавюрт","11010",""
"11012","Республика Ингушетия","102444",""
"1092","Назрань","11012",""
"11021","Республика Северная Осетия — Алания","102444",""
"33","Владикавказ","11021",""
"11069","Ставропольский край","102444",""
"99456","Будённовский район","11069",""
"11055","Будённовск","99456",""
"11056","Георгиевск","11069",""
"11057","Ессентуки","11069",""
"11062","Кисловодск","11069",""
"11063","Минеральные Воды","11069",""
"11064","Невинномысск","11069",""
"11067","Пятигорск","11069",""
"36","Ставрополь","11069",""
"11024","Чеченская Республика","102444",""
"1106","Грозный","11024",""
"52","Урал","225",""
"11158","Курганская область","52",""
"53","Курган","11158",""
"11159","Шадринск","11158",""
"11162","Свердловская область","52",""
"11160","Асбест","11162",""
"29397","Берёзовский","11162",""
"20720","Верхняя Пышма","11162",""
"11161","Верхняя Салда","11162",""
"54","Екатеринбург","11162",""
"11164","Каменск-Уральский","11162",""
"20234","Качканар","11162",""
"11165","Краснотурьинск","11162",""
"20691","Красноуфимск","11162",""
"11166","Кушва","11162",""
"11167","Лесной","11162",""
"20654","Невьянск","11162",""
"11168","Нижний Тагил","11162",""
"11169","Нижняя Тура","11162",""
"11170","Новоуральск","11162",""
"11171","Первоуральск","11162",""
"21726","Полевской","11162",""
"20224","Ревда","11162",""
"20684","Реж","11162",""
"20672","Североуральск","11162",""
"11172","Серов","11162",""
"11176","Тюменская область","52",""
"11173","Ишим","11176",""
"11175","Тобольск","11176",""
"55","Тюмень","11176",""
"11178","Ялуторовск","11176",""
"11193","Ханты-Мансийский автономный округ - Югра","52",""
"11180","Когалым","11193",""
"11181","Лангепас","11193",""
"11182","Мегион","11193",""
"11184","Нефтеюганск","11193",""
"1091","Нижневартовск","11193",""
"11186","Нягань","11193",""
"11188","Пыть-Ях","11193",""
"11189","Радужный","11193",""
"973","Сургут","11193",""
"11192","Урай","11193",""
"57","Ханты-Мансийск","11193",""
"11177","Югорск","11193",""
"11225","Челябинская область","52",""
"11200","Верхний Уфалей","11225",""
"11202","Златоуст","11225",""
"11207","Копейск","11225",""
"235","Магнитогорск","11225",""
"11212","Миасс","11225",""
"11214","Озёрск","11225",""
"100020","Саткинский район","11225",""
"11217","Сатка","100020",""
"11218","Снежинск","11225",""
"11220","Троицк","11225",""
"11223","Усть-Катав","11225",""
"56","Челябинск","11225",""
"11232","Ямало-Ненецкий автономный округ","52",""
"11228","Губкинский","11232",""
